,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
2150,Akali,Assassin,TOP,B,44.92,2.34,47.21,24.65,2.74,14.46,2.03,12.18
2151,Akshan,Marksman,MID,A,49.99,1.25,51.65,65.06,2.63,5.04,2.23,12.18
2152,Akshan,Marksman,TOP,B,44.2,-2.29,49.7,26.53,1.03,5.04,2.02,12.18
2153,Alistar,Tank,SUPPORT,C,40.54,-4.97,48.85,95.94,2.92,0.6,2.45,12.18
2154,Amumu,Tank,SUPPORT,S,58.84,4.46,52.08,66.1,5.7,6.91,2.12,12.18
2155,Amumu,Tank,JUNGLE,A,48.8,0.35,52.08,35.04,3.21,6.75,2.64,12.18
2156,Anivia,Mage,MID,A,51.35,0.08,51.75,78.98,2.33,2.41,2.69,12.18
2157,Anivia,Mage,SUPPORT,D,27.11,0.24,47.85,15.65,0.41,2.47,2.2,12.18
2158,Annie,Mage,MID,B,43.26,-1.96,49.37,77.66,1.78,0.56,2.35,12.18
2159,Annie,Mage,SUPPORT,D,14.55,-13.24,43.08,15.39,0.32,0.57,1.89,12.18
2160,Aphelios,Marksman,ADC,C,34.94,-0.1,46.51,97.27,5.61,0.66,2.02,12.18
2161,Ashe,Marksman,ADC,S,56.84,8.47,50.68,67.09,10.09,3.74,2.43,12.18
2162,Ashe,Marksman,SUPPORT,B,47.41,-3.42,48.76,30.22,4.64,3.74,2.37,12.18
2163,Aurelion Sol,Mage,MID,C,37.97,-1.15,48.62,85.77,0.59,0.28,2.35,12.18
2164,Azir,Mage,MID,C,39.4,-1.63,44.56,91.07,3.73,1.46,2.05,12.18
2165,Bard,Support,SUPPORT,B,47.19,-1.5,49.81,96.34,3.38,0.94,2.98,12.18
2166,Bel'Veth,Fighter,JUNGLE,God,78.16,16.47,52.52,95.82,6.98,22.4,2.47,12.18
2167,Blitzcrank,Tank,SUPPORT,S,61.67,4.29,50.35,97.49,6.53,11.75,2.42,12.18
2168,Brand,Mage,SUPPORT,B,46.03,2.58,50.83,71.4,3.68,4.55,1.88,12.18
2169,Brand,Mage,MID,C,34.95,-5.48,47.41,16.25,0.91,4.99,1.96,12.18
2170,Braum,Support,SUPPORT,C,38.67,-0.86,49.23,97.45,2.09,0.3,2.58,12.18
2171,Caitlyn,Marksman,ADC,God,76.02,10.33,49.73,97.13,18.2,12.31,2.29,12.18
2172,Camille,Fighter,TOP,A,54.52,-4.72,49.74,94.06,5.27,2.69,1.97,12.18
2173,Cassiopeia,Mage,MID,A,51.53,6.43,53.42,78.69,2.21,1.75,2.23,12.18
2174,Cassiopeia,Mage,TOP,C,39.39,-1.13,48.57,12.09,0.34,1.76,1.84,12.18
2175,Cho'Gath,Tank,TOP,B,47.46,3.1,50.41,63.73,1.8,0.69,2.06,12.18
2176,Cho'Gath,Tank,MID,C,41.72,-0.31,50.81,21.08,0.44,0.69,2.39,12.18
2177,Corki,Marksman,MID,C,36.61,3.62,47.46,90.12,1.12,0.19,2.17,12.18
2178,Darius,Fighter,TOP,God,72.51,-5.35,49.68,93.41,9.66,26.39,1.83,12.18
2179,Diana,Fighter,JUNGLE,S,69.49,12.14,51.7,81.06,7.15,7.22,2.52,12.18
2180,Diana,Fighter,MID,A,48.02,3.12,52.65,16.99,1.48,7.22,2.23,12.18
2181,Dr. Mundo,Marksman,TOP,A,51.57,1.81,51.92,80.56,2.26,1.37,2.11,12.18
2182,Dr. Mundo,Marksman,JUNGLE,D,30.81,0.0,51.18,10.27,0.31,1.62,2.76,12.18
2183,Draven,Fighter,ADC,A,55.15,0.9,50.02,95.33,7.94,26.89,2.14,12.18
2184,Ekko,Assassin,JUNGLE,S,55.15,5.34,51.07,64.62,4.76,2.53,2.85,12.18
2185,Ekko,Assassin,MID,B,46.4,1.79,49.9,32.97,2.51,2.53,2.28,12.18
2186,Elise,Mage,JUNGLE,B,41.89,-2.65,50.78,91.33,2.5,1.87,2.81,12.18
2187,Evelynn,Assassin,JUNGLE,B,45.42,0.65,49.88,98.02,3.33,3.68,2.98,12.18
2188,Ezreal,Marksman,ADC,S,65.52,3.2,49.02,94.42,15.51,2.95,2.49,12.18
2189,Fiddlesticks,Mage,JUNGLE,A,53.65,0.83,51.47,88.07,4.24,5.34,2.78,12.18
2190,Fiora,Fighter,TOP,S,61.84,-0.04,50.36,97.58,6.88,16.08,1.79,12.18
2191,Fizz,Assassin,MID,B,43.89,-3.51,47.84,95.2,2.8,3.39,2.32,12.18
2192,Galio,Tank,MID,A,51.38,-1.63,51.61,80.63,2.41,0.43,2.74,12.18
2193,Galio,Tank,SUPPORT,D,25.9,-6.63,47.12,16.19,0.46,0.41,2.26,12.18
2194,Gangplank,Fighter,TOP,A,50.27,-1.89,47.61,75.55,4.87,5.57,2.0,12.18
2195,Gangplank,Fighter,MID,C,39.94,-1.46,48.11,24.04,1.68,5.57,2.17,12.18
2196,Garen,Fighter,TOP,S,57.17,-3.03,50.95,83.56,5.31,2.2,2.05,12.18
2197,Gnar,Fighter,TOP,B,46.06,-0.88,47.81,96.43,3.56,0.78,1.86,12.18
2198,Gragas,Fighter,MID,B,45.08,2.44,51.81,18.48,0.75,0.54,2.49,12.18
2199,Gragas,Fighter,TOP,B,44.36,0.86,48.36,48.45,1.99,0.6,2.08,12.18
2200,Gragas,Fighter,JUNGLE,D,30.36,-11.83,49.37,23.04,0.9,0.54,2.92,12.18
2201,Gragas,Fighter,SUPPORT,D,27.53,-3.18,48.02,11.51,0.42,0.54,2.21,12.18
2202,Graves,Marksman,JUNGLE,God,83.07,26.49,49.66,88.95,10.19,6.71,2.66,12.18
2203,Gwen,Fighter,TOP,B,41.82,-3.68,47.74,86.4,2.24,1.05,1.7,12.18
2204,Hecarim,Fighter,JUNGLE,God,91.52,0.04,48.82,98.27,8.37,30.23,2.74,12.18
2205,Heimerdinger,Mage,MID,B,46.97,0.7,52.16,43.3,1.72,2.69,2.08,12.18
2206,Heimerdinger,Mage,TOP,B,43.79,-2.1,50.74,23.13,0.83,2.83,1.7,12.18
2207,Heimerdinger,Mage,ADC,C,38.82,-5.45,52.86,12.4,0.43,2.69,2.27,12.18
2208,Heimerdinger,Mage,SUPPORT,D,34.27,-6.39,50.95,22.22,0.75,2.69,1.97,12.18
2209,Illaoi,Fighter,TOP,A,49.94,0.08,50.78,92.41,3.57,6.12,1.48,12.18
2210,Irelia,Fighter,TOP,A,53.15,-0.36,49.68,53.23,4.74,15.09,1.66,12.18
2211,Irelia,Fighter,MID,A,52.25,0.82,50.49,45.27,4.01,15.09,1.85,12.18
2212,Ivern,Support,JUNGLE,D,34.63,-10.13,49.57,74.3,0.99,0.43,3.44,12.18
2213,Ivern,Support,SUPPORT,D,22.07,-3.12,45.27,12.47,0.15,0.43,2.56,12.18
2214,Janna,Support,SUPPORT,God,72.04,1.35,52.81,98.46,7.38,3.19,3.25,12.18
2215,Jarvan IV,Tank,JUNGLE,A,49.29,-0.92,49.97,89.03,3.78,0.36,3.27,12.18
2216,Jax,Fighter,TOP,S,56.65,-0.82,50.83,83.83,5.64,7.56,1.69,12.18
2217,Jax,Fighter,JUNGLE,D,31.21,-10.23,51.28,14.26,0.98,7.07,2.18,12.18
2218,Jayce,Fighter,MID,B,43.69,1.43,52.27,19.46,0.53,0.39,2.2,12.18
2219,Jayce,Fighter,TOP,B,43.21,2.09,48.27,78.66,2.24,0.39,1.79,12.18
2220,Jhin,Marksman,ADC,S,69.44,4.72,51.01,96.91,13.83,3.05,3.0,12.18
2221,Jinx,Marksman,ADC,B,44.36,-1.26,48.95,97.8,6.94,0.67,2.23,12.18
2222,Kai'Sa,Marksman,ADC,God,78.57,13.48,50.63,96.76,19.74,2.93,2.53,12.18
2223,Kalista,Marksman,ADC,C,37.3,-5.15,48.31,91.95,4.14,3.11,2.24,12.18
2224,Karma,Mage,SUPPORT,S,59.09,-0.17,48.94,87.29,7.1,1.75,2.71,12.18
2225,Karthus,Mage,ADC,C,41.44,-2.63,53.57,18.94,0.79,2.68,2.31,12.18
2226,Karthus,Mage,MID,C,41.0,1.66,50.74,12.3,0.45,2.68,2.26,12.18
2227,Karthus,Mage,JUNGLE,C,37.79,-3.8,49.77,60.15,2.44,2.68,2.59,12.18
2228,Kassadin,Assassin,MID,A,51.97,-1.65,49.87,96.72,3.6,7.96,2.5,12.18
2229,Katarina,Assassin,MID,S,68.32,-2.91,49.77,95.57,8.28,11.24,2.32,12.18
2230,Kayle,Fighter,TOP,A,50.49,1.64,50.81,78.22,3.26,1.23,1.82,12.18
2231,Kayle,Fighter,MID,B,43.02,3.45,51.79,17.88,0.59,1.23,2.2,12.18
2232,Kayn,Fighter,JUNGLE,God,93.03,13.65,50.0,96.62,10.75,18.2,2.46,12.18
2233,Kennen,Mage,TOP,B,46.66,5.37,49.89,80.09,1.94,0.59,2.03,12.18
2234,Kennen,Mage,MID,B,42.42,2.73,51.41,16.61,0.37,0.53,2.36,12.18
2235,Kha'Zix,Assassin,JUNGLE,S,57.23,6.51,50.41,98.15,5.75,2.94,2.58,12.18
2236,Kindred,Marksman,JUNGLE,A,52.79,4.23,50.64,94.54,4.96,5.52,2.31,12.18
2237,Kled,Fighter,TOP,A,49.17,2.4,50.53,87.89,1.81,0.81,2.34,12.18
2238,Kog'Maw,Marksman,ADC,C,37.75,-6.51,50.72,89.19,2.11,0.52,2.25,12.18
2239,LeBlanc,Assassin,MID,A,52.25,-0.42,48.28,93.7,4.2,5.82,2.79,12.18
2240,Lee Sin,Fighter,JUNGLE,God,84.02,31.32,47.86,93.4,11.38,5.49,2.76,12.18
2241,Leona,Tank,SUPPORT,S,58.12,2.75,50.88,98.25,5.97,5.08,2.39,12.18
2242,Lillia,Fighter,JUNGLE,A,49.55,0.89,50.55,77.76,3.99,2.29,2.84,12.18
2243,Lillia,Fighter,TOP,A,48.98,-3.62,52.15,19.06,1.06,2.42,2.1,12.18
2244,Lissandra,Mage,MID,C,41.8,-4.34,47.57,92.85,2.37,0.73,2.34,12.18
2245,Lucian,Marksman,ADC,B,44.6,-0.33,49.82,86.15,5.82,1.5,2.34,12.18
2246,Lulu,Support,SUPPORT,God,81.08,-4.12,49.6,96.27,10.11,14.92,2.98,12.18
2247,Lux,Mage,SUPPORT,God,76.42,3.0,49.34,66.59,10.33,8.03,2.5,12.18
2248,Lux,Mage,MID,S,58.69,-2.68,50.19,30.63,4.73,8.03,2.89,12.18
2249,Malphite,Tank,TOP,A,49.56,0.57,49.25,69.55,2.68,2.03,2.43,12.18
2250,Malphite,Tank,MID,C,38.85,-4.44,48.82,13.61,0.56,1.98,2.47,12.18
2251,Malphite,Tank,SUPPORT,D,24.5,-1.58,46.51,14.75,0.66,1.95,2.08,12.18
2252,Malzahar,Mage,MID,A,49.93,1.58,51.07,90.8,2.94,3.57,2.24,12.18
2253,Maokai,Tank,TOP,S,58.29,-2.14,51.83,40.68,4.42,2.97,2.37,12.18
2254,Maokai,Tank,SUPPORT,A,50.41,0.6,52.16,35.5,3.55,2.97,2.37,12.18
2255,Maokai,Tank,JUNGLE,B,43.62,-1.36,51.41,22.08,2.12,2.97,3.13,12.18
2256,Master Yi,Assassin,JUNGLE,God,89.91,25.71,51.85,92.81,8.47,25.78,2.14,12.18
2257,Miss Fortune,Marksman,ADC,God,95.77,-0.34,52.42,92.35,21.38,20.41,2.41,12.18
2258,Mordekaiser,Fighter,TOP,S,66.71,-2.51,51.4,77.02,8.08,12.47,1.89,12.18
2259,Mordekaiser,Fighter,JUNGLE,C,35.16,-18.62,50.81,14.63,1.5,12.47,2.41,12.18
2260,Morgana,Mage,SUPPORT,God,84.03,7.55,51.41,86.35,8.55,26.52,2.55,12.18
2261,Nami,Support,SUPPORT,S,66.17,2.35,51.79,99.36,6.76,0.84,3.2,12.18
2262,Nasus,Fighter,TOP,A,49.66,0.93,49.37,71.91,3.72,2.65,1.9,12.18
2263,Nautilus,Tank,SUPPORT,S,67.42,5.39,49.69,97.57,8.53,9.3,2.31,12.18
2264,Neeko,Mage,MID,A,49.74,-0.22,53.03,58.53,1.73,0.53,2.33,12.18
2265,Neeko,Mage,TOP,B,41.98,-0.05,49.92,10.08,0.27,0.57,1.91,12.18
2266,Neeko,Mage,SUPPORT,D,34.34,1.31,50.84,24.56,0.69,0.57,2.1,12.18
2267,Nidalee,Assassin,JUNGLE,B,43.04,-1.06,47.22,90.0,4.25,3.26,2.86,12.18
2268,Nilah,Marksman,ADC,A,48.43,-0.32,53.07,94.59,4.18,9.97,2.29,12.18
2269,Nocturne,Assassin,JUNGLE,A,49.55,-3.75,51.09,90.0,3.89,2.02,2.71,12.18
2270,Nunu,Tank,JUNGLE,B,44.15,-1.6,50.18,87.38,3.13,0.97,2.9,12.18
2271,Olaf,Fighter,TOP,A,48.07,-1.49,50.31,71.45,2.65,2.43,1.8,12.18
2272,Olaf,Fighter,JUNGLE,D,33.11,-10.56,51.72,26.03,0.9,2.43,2.4,12.18
2273,Orianna,Mage,MID,A,48.42,1.71,50.05,91.03,2.45,0.24,2.7,12.18
2274,Ornn,Tank,TOP,S,58.98,-1.29,51.19,88.27,5.43,1.0,2.3,12.18
2275,Pantheon,Fighter,MID,A,49.17,3.13,52.69,21.04,1.63,1.92,2.4,12.18
2276,Pantheon,Fighter,TOP,B,45.35,1.46,49.7,22.87,1.47,1.81,2.05,12.18
2277,Pantheon,Fighter,SUPPORT,C,35.0,-4.69,48.54,28.37,2.27,1.92,1.96,12.18
2278,Pantheon,Fighter,JUNGLE,D,30.62,-11.25,48.01,28.38,2.09,1.92,2.51,12.18
2279,Poppy,Tank,TOP,B,46.6,4.6,50.65,29.32,1.05,1.43,2.17,12.18
2280,Poppy,Tank,JUNGLE,C,34.71,-5.6,49.09,61.45,2.09,1.43,2.73,12.18
2281,Pyke,Support,SUPPORT,God,72.24,3.15,49.24,93.39,8.78,19.5,2.26,12.18
2282,Qiyana,Assassin,MID,C,41.07,-3.12,47.33,72.81,2.63,2.03,2.09,12.18
2283,Qiyana,Assassin,JUNGLE,D,20.09,-14.45,46.64,22.63,0.8,2.03,2.49,12.18
2284,Quinn,Marksman,TOP,B,46.88,1.41,51.03,80.99,1.58,0.99,1.85,12.18
2285,Rakan,Support,SUPPORT,B,44.74,-5.19,48.57,98.01,3.72,0.27,2.79,12.18
2286,Rammus,Tank,JUNGLE,S,55.33,3.55,52.16,78.49,3.83,6.99,3.06,12.18
2287,Rammus,Tank,TOP,B,43.12,3.07,50.36,17.85,0.92,7.13,1.64,12.18
2288,Rek'Sai,Fighter,JUNGLE,B,43.41,-1.8,50.43,96.66,3.1,4.31,2.59,12.18
2289,Rell,Tank,SUPPORT,A,48.02,0.72,52.7,97.3,2.61,0.48,2.49,12.18
2290,Renata Glasc,Support,SUPPORT,S,63.82,5.36,52.57,99.06,5.95,4.28,2.83,12.18
2291,Renekton,Fighter,TOP,A,49.7,-2.06,48.06,84.48,4.86,3.6,1.79,12.18
2292,Renekton,Fighter,MID,C,40.82,-1.01,50.75,13.76,0.79,3.6,2.0,12.18
2293,Rengar,Assassin,JUNGLE,B,43.02,0.13,49.44,77.74,3.66,6.26,2.38,12.18
2294,Rengar,Assassin,TOP,C,41.46,1.72,48.68,18.75,0.9,6.26,1.9,12.18
2295,Riven,Fighter,TOP,A,50.45,2.02,49.46,88.86,4.0,1.93,1.91,12.18
2296,Rumble,Fighter,MID,B,47.23,-2.53,51.96,39.33,1.09,0.54,2.64,12.18
2297,Rumble,Fighter,TOP,B,43.98,2.93,48.93,49.31,1.19,0.54,2.19,12.18
2298,Ryze,Mage,MID,C,36.7,1.69,46.85,82.16,1.56,0.14,2.13,12.18
2299,Ryze,Mage,TOP,D,31.28,1.58,44.38,14.82,0.29,0.16,1.74,12.18
2300,Samira,Marksman,ADC,S,63.55,3.46,51.27,97.56,10.36,21.62,2.33,12.18
2301,Sejuani,Tank,TOP,A,51.28,-1.2,50.59,44.95,2.38,0.89,2.46,12.18
2302,Sejuani,Tank,JUNGLE,B,45.97,-3.51,50.71,48.9,2.67,0.89,3.36,12.18
2303,Senna,Marksman,SUPPORT,S,62.01,0.27,50.28,92.91,7.11,4.0,2.56,12.18
2304,Seraphine,Mage,SUPPORT,A,53.38,-2.92,49.93,61.16,5.36,2.67,2.49,12.18
2305,Seraphine,Mage,ADC,B,45.83,-0.85,52.82,25.81,1.89,2.67,2.87,12.18
2306,Seraphine,Mage,MID,B,44.7,4.85,50.14,12.65,1.03,2.67,2.83,12.18
2307,Sett,Fighter,TOP,S,69.59,-0.73,51.61,78.39,9.92,6.0,1.8,12.18
2308,Sett,Fighter,MID,B,46.14,-0.69,52.21,11.71,1.34,6.0,2.13,12.18
2309,Shaco,Assassin,JUNGLE,S,63.19,10.08,49.5,80.16,6.13,14.16,2.76,12.18
2310,Shaco,Assassin,SUPPORT,D,34.08,-4.27,49.22,13.33,1.04,15.01,2.34,12.18
2311,Shen,Tank,TOP,S,61.78,-1.72,52.04,87.43,4.27,0.87,3.07,12.18
2312,Shyvana,Fighter,TOP,B,44.98,3.23,50.49,20.52,0.46,0.57,2.19,12.18
2313,Shyvana,Fighter,JUNGLE,B,42.07,-3.78,52.22,75.34,1.85,0.54,2.82,12.18
2314,Singed,Tank,MID,A,51.43,-0.86,54.96,17.81,0.52,0.77,2.75,12.18
2315,Singed,Tank,TOP,A,50.14,-4.61,51.47,71.39,2.12,0.77,2.06,12.18
2316,Sion,Tank,TOP,A,49.67,-0.08,50.29,78.53,3.78,0.71,1.61,12.18
2317,Sion,Tank,MID,C,37.69,0.0,51.04,10.32,0.44,0.74,1.53,12.18
2318,Sivir,Marksman,ADC,A,49.74,-6.5,50.29,97.88,7.0,5.96,2.47,12.18
2319,Skarner,Fighter,TOP,A,51.31,15.73,53.62,16.77,0.19,0.19,2.45,12.18
2320,Skarner,Fighter,JUNGLE,D,34.29,-10.14,51.09,76.96,0.9,0.19,2.85,12.18
2321,Sona,Support,SUPPORT,B,47.47,-0.95,50.46,94.25,3.24,0.23,2.88,12.18
2322,Soraka,Support,SUPPORT,S,66.17,3.97,51.29,94.85,7.31,3.64,2.8,12.18
2323,Swain,Mage,MID,S,56.31,-0.37,53.42,40.08,2.81,4.4,2.72,12.18
2324,Swain,Mage,SUPPORT,B,47.34,-1.14,50.37,45.21,3.64,4.4,2.41,12.18
2325,Sylas,Mage,MID,God,85.11,3.98,50.06,87.31,12.97,10.73,2.15,12.18
2326,Syndra,Mage,MID,B,42.27,2.53,47.56,86.12,2.68,0.73,2.23,12.18
2327,Tahm Kench,Support,TOP,B,44.97,-1.06,48.56,57.99,1.67,0.93,2.28,12.18
2328,Tahm Kench,Support,SUPPORT,D,25.53,-3.97,46.34,30.89,0.71,0.93,2.33,12.18
2329,Taliyah,Mage,MID,A,48.23,1.69,51.25,52.11,2.28,2.1,2.3,12.18
2330,Taliyah,Mage,JUNGLE,D,32.57,-8.86,49.0,38.97,1.75,2.1,2.69,12.18
2331,Talon,Assassin,MID,B,44.72,-0.09,49.34,49.84,2.47,1.67,2.19,12.18
2332,Talon,Assassin,JUNGLE,D,30.87,-10.23,47.69,47.41,2.33,1.67,2.48,12.18
2333,Taric,Support,SUPPORT,A,47.6,1.08,52.44,87.04,2.31,0.53,2.76,12.18
2334,Teemo,Marksman,TOP,A,54.06,-3.43,50.02,75.24,4.85,7.88,1.77,12.18
2335,Thresh,Support,SUPPORT,God,71.31,15.25,49.17,97.27,10.07,2.21,2.62,12.18
2336,Tristana,Marksman,ADC,A,53.09,0.89,51.3,84.76,7.98,3.58,2.36,12.18
2337,Tristana,Marksman,MID,B,45.64,0.21,52.48,12.25,0.99,3.58,2.19,12.18
2338,Trundle,Fighter,JUNGLE,A,49.13,-0.1,50.7,76.01,3.95,3.81,2.69,12.18
2339,Trundle,Fighter,TOP,B,45.8,6.93,51.68,19.76,1.02,3.81,1.67,12.18
2340,Tryndamere,Fighter,TOP,A,47.52,0.86,49.58,82.73,2.93,4.13,1.79,12.18
2341,Tryndamere,Fighter,MID,C,40.29,-2.47,51.19,10.21,0.32,4.18,2.05,12.18
2342,Twisted Fate,Mage,MID,C,41.21,-3.34,47.32,90.3,2.49,0.13,2.24,12.18
2343,Twitch,Marksman,ADC,A,51.86,-1.52,50.75,84.04,7.53,7.82,2.41,12.18
2344,Udyr,Fighter,JUNGLE,God,91.14,12.57,50.96,70.5,7.93,33.64,2.66,12.18
2345,Udyr,Fighter,TOP,B,44.59,-21.86,46.42,26.62,2.9,33.64,1.68,12.18
2346,Urgot,Fighter,TOP,A,52.01,-1.28,51.46,90.15,3.1,1.34,1.96,12.18
2347,Varus,Marksman,ADC,C,40.61,-0.34,49.59,69.83,4.18,0.78,2.36,12.18
2348,Varus,Marksman,MID,C,37.69,-0.82,47.39,26.68,1.62,0.78,2.08,12.18
2349,Vayne,Marksman,ADC,B,46.82,0.73,49.67,75.26,7.13,9.78,2.06,12.18
2350,Vayne,Marksman,TOP,B,45.48,4.05,50.07,21.67,2.03,9.78,1.61,12.18
2351,Veigar,Mage,MID,S,56.15,-0.32,50.38,75.84,4.97,3.02,2.37,12.18
2352,Veigar,Mage,ADC,C,39.24,-2.81,52.27,12.8,0.8,3.24,2.4,12.18
2353,Vel'Koz,Mage,MID,B,46.0,-0.36,51.16,34.34,1.16,0.78,2.64,12.18
2354,Vel'Koz,Mage,SUPPORT,B,42.36,0.32,51.26,60.45,2.25,0.78,2.26,12.18
2355,Vex,Mage,MID,S,68.36,-1.55,52.38,93.48,6.87,9.45,2.49,12.18
2356,Vi,Fighter,JUNGLE,A,51.4,0.81,50.37,94.69,4.91,1.19,2.48,12.18
2357,Viego,Assassin,JUNGLE,S,65.35,8.65,49.09,91.72,7.99,3.78,2.44,12.18
2358,Viktor,Mage,MID,God,71.02,0.58,52.15,96.08,8.17,5.79,2.37,12.18
2359,Vladimir,Mage,MID,S,62.18,7.08,52.12,77.45,5.41,8.55,2.42,12.18
2360,Vladimir,Mage,TOP,B,46.74,1.12,50.32,19.85,1.26,8.55,2.15,12.18
2361,Volibear,Fighter,TOP,B,45.95,0.51,49.63,42.77,2.39,2.11,1.75,12.18
2362,Volibear,Fighter,JUNGLE,B,45.78,-2.17,51.55,53.46,2.92,2.11,2.75,12.18
2363,Warwick,Fighter,JUNGLE,S,55.69,8.13,50.81,69.28,5.4,4.98,2.27,12.18
2364,Warwick,Fighter,TOP,B,45.08,0.61,49.7,31.49,1.72,4.58,1.86,12.18
2365,Wukong,Fighter,TOP,C,40.62,-2.76,48.01,31.44,0.9,1.71,1.99,12.18
2366,Wukong,Fighter,JUNGLE,D,30.6,-11.12,47.94,62.82,1.97,1.71,2.64,12.18
2367,Xayah,Marksman,ADC,C,36.27,-6.12,48.24,97.67,3.62,0.37,2.33,12.18
2368,Xerath,Mage,MID,A,50.87,2.11,50.87,39.1,1.98,2.52,3.15,12.18
2369,Xerath,Mage,SUPPORT,A,50.74,3.17,52.38,56.89,3.13,2.52,2.7,12.18
2370,Xin Zhao,Fighter,JUNGLE,D,34.35,-6.11,50.42,87.13,1.96,0.32,2.26,12.18
2371,Yasuo,Fighter,MID,God,80.78,-3.36,49.16,66.22,11.02,21.82,1.74,12.18
2372,Yasuo,Fighter,TOP,B,41.94,1.03,47.32,15.66,2.38,21.82,1.48,12.18
2373,Yasuo,Fighter,ADC,C,35.73,-1.45,49.65,16.92,2.4,21.82,1.95,12.18
2374,Yone,Assassin,MID,God,72.76,-2.17,50.4,64.46,9.37,14.21,1.92,12.18
2375,Yone,Assassin,TOP,A,50.88,-2.82,48.84,32.2,4.51,14.21,1.67,12.18
2376,Yorick,Fighter,TOP,A,49.66,0.1,51.17,91.84,3.12,3.2,1.57,12.18
2377,Yuumi,Support,SUPPORT,God,92.54,1.32,47.03,98.68,10.3,30.12,4.05,12.18
2378,Zac,Tank,TOP,A,55.05,7.06,54.16,11.74,0.58,3.01,2.78,12.18
2379,Zac,Tank,JUNGLE,A,53.32,-1.3,50.28,73.3,3.9,3.01,3.59,12.18
2380,Zed,Assassin,MID,God,91.81,2.02,51.12,74.93,9.96,35.77,2.31,12.18
2381,Zed,Assassin,JUNGLE,C,40.69,-2.45,48.33,20.87,2.42,35.77,2.59,12.18
2382,Zeri,Marksman,ADC,D,23.85,-6.2,44.19,90.79,2.25,1.26,2.19,12.18
2383,Ziggs,Mage,MID,B,45.48,3.37,50.88,55.7,1.48,0.26,2.44,12.18
2384,Ziggs,Mage,ADC,C,38.46,1.7,51.25,36.36,0.76,0.25,2.64,12.18
2385,Zilean,Support,SUPPORT,A,52.06,2.59,51.41,78.28,3.4,2.33,3.19,12.18
2386,Zilean,Support,MID,A,48.91,-0.36,51.54,16.71,0.73,2.33,3.34,12.18
2387,Zoe,Mage,MID,A,50.07,1.33,48.86,85.31,3.77,1.97,2.56,12.18
2388,Zoe,Mage,SUPPORT,D,25.73,-2.61,47.17,12.71,0.5,1.77,2.16,12.18
2389,Zyra,Mage,SUPPORT,A,52.49,1.84,52.55,92.03,4.02,2.49,2.24,12.18
2390,Aatrox,Fighter,TOP,God,90.45,-0.28,49.53,93.74,15.06,36.25,1.88,12.19
2391,Ahri,Mage,MID,S,56.0,-5.32,48.83,93.93,5.91,2.59,2.5,12.19
2392,Akali,Assassin,MID,S,69.03,1.97,48.57,76.83,8.91,14.79,2.39,12.19
2393,Akali,Assassin,TOP,B,43.67,-1.25,46.61,22.43,2.69,14.79,2.0,12.19
2394,Akshan,Marksman,TOP,B,44.67,0.48,49.68,28.42,1.06,4.84,1.93,12.19
2395,Akshan,Marksman,MID,B,44.02,-5.98,49.17,62.94,2.53,4.84,2.17,12.19
2396,Alistar,Tank,SUPPORT,B,42.55,2.02,48.87,96.29,3.07,0.64,2.41,12.19
2397,Amumu,Tank,SUPPORT,S,62.69,3.85,51.82,70.79,6.89,9.97,2.11,12.19
2398,Amumu,Tank,JUNGLE,A,48.38,-0.42,51.94,28.21,2.95,9.97,2.65,12.19
2399,Anivia,Mage,MID,A,49.43,-1.91,51.47,79.22,2.17,2.17,2.69,12.19
2400,Anivia,Mage,SUPPORT,D,34.15,7.04,49.53,15.92,0.39,2.2,2.26,12.19
2401,Annie,Mage,MID,C,41.03,-2.23,49.35,73.87,1.43,0.5,2.29,12.19
2402,Annie,Mage,SUPPORT,D,14.22,-0.34,40.64,18.81,0.35,0.53,1.85,12.19
2403,Aphelios,Marksman,ADC,C,40.59,5.65,46.18,97.82,8.11,0.85,2.03,12.19
2404,Ashe,Marksman,ADC,A,52.34,-4.5,50.99,65.26,7.81,3.24,2.45,12.19
2405,Ashe,Marksman,SUPPORT,B,43.98,-3.43,48.31,31.95,3.78,3.24,2.36,12.19
2406,Aurelion Sol,Mage,MID,C,40.15,2.18,49.63,82.66,0.63,0.3,2.52,12.19
2407,Azir,Mage,MID,B,42.39,2.99,44.84,93.16,4.71,1.65,2.04,12.19
2408,Bard,Support,SUPPORT,B,43.27,-3.92,48.24,96.54,3.05,0.73,2.85,12.19
2409,Bel'Veth,Fighter,JUNGLE,God,77.36,-0.8,52.07,95.97,7.4,26.95,2.5,12.19
2410,Blitzcrank,Tank,SUPPORT,God,86.78,25.11,54.25,71.32,9.84,22.05,2.66,12.19
2411,Blitzcrank,Tank,JUNGLE,C,40.32,0.0,46.5,23.89,3.6,22.05,2.45,12.19
2412,Brand,Mage,SUPPORT,B,47.57,1.55,51.88,72.62,3.31,4.06,1.87,12.19
2413,Brand,Mage,MID,C,40.8,5.85,50.73,17.59,0.89,4.91,2.07,12.19
2414,Braum,Support,SUPPORT,C,40.61,1.93,49.17,97.98,2.07,0.28,2.6,12.19
2415,Caitlyn,Marksman,ADC,God,76.36,0.34,50.11,97.58,17.36,15.35,2.31,12.19
2416,Camille,Fighter,TOP,A,52.72,-1.8,49.42,94.62,5.21,2.4,1.95,12.19
